,Output
0,[9.60131808]
1,[9.51081404]
2,[9.43731628]
3,[9.38150153]
4,[9.34129602]
5,[9.31358585]
6,[9.2951812]
7,[9.28329405]
8,[9.27570997]
9,[9.27079388]
10,[9.26740961]
11,[9.26481538]
12,[9.26255803]
13,[9.26038289]
14,[9.25816417]
15,[9.25585251]
16,[9.25344187]
17,[9.25094621]
18,[9.24838698]
19,[9.24578577]
20,[9.24316056]
21,[9.24052502]
22,[9.23788922]
23,[9.23525918]
24,[9.23263852]
25,[9.23002927]
26,[9.22743303]
27,[9.22484845]
28,[9.22227634]
29,[9.21971577]
