,Output
0,[36.77957596]
1,[36.50023872]
2,[36.2633362]
3,[36.07178511]
4,[35.92086724]
5,[35.80284378]
6,[35.70959215]
7,[35.63390182]
8,[35.56998674]
9,[35.51354633]
10,[35.46154648]
11,[35.41199378]
12,[35.36364773]
13,[35.31580624]
14,[35.26810133]
15,[35.22037045]
16,[35.17259556]
17,[35.12478567]
18,[35.07699272]
19,[35.02926975]
20,[34.9816653]
21,[34.93420307]
22,[34.88691693]
23,[34.83981365]
24,[34.79291016]
25,[34.74620759]
26,[34.69970481]
27,[34.65340634]
28,[34.60729975]
29,[34.56140312]
