,Output
0,[34.51411793]
1,[34.4407689]
2,[34.331115]
3,[34.18717188]
4,[34.01534784]
5,[33.82324466]
6,[33.61796186]
7,[33.40543366]
8,[33.19019694]
9,[32.97551221]
10,[32.76358407]
11,[32.5557701]
12,[32.35285271]
13,[32.1551866]
14,[31.96285467]
15,[31.77578398]
16,[31.59382534]
17,[31.4167384]
18,[31.24431928]
19,[31.07633923]
20,[30.91257778]
21,[30.752841]
22,[30.59694489]
23,[30.44472866]
24,[30.29602656]
25,[30.15069934]
26,[30.00860942]
27,[29.86963746]
28,[29.73365582]
29,[29.60056172]
