,Output
0,[12221.09939609]
1,[12162.518789]
2,[12076.26787921]
3,[11975.89075874]
4,[11870.62364483]
5,[11765.13725312]
6,[11661.33035241]
7,[11559.80079432]
8,[11460.62921013]
9,[11363.72906871]
10,[11268.9922061]
11,[11176.32127477]
12,[11085.62581032]
13,[10996.83599784]
14,[10909.88497237]
15,[10824.70193567]
16,[10741.22887254]
17,[10659.41366764]
18,[10579.19732245]
19,[10500.52280507]
20,[10423.35078316]
21,[10347.62422482]
22,[10273.29888117]
23,[10200.33738648]
24,[10128.69254195]
25,[10058.32599854]
26,[9989.19645729]
27,[9921.27245233]
28,[9854.51760123]
29,[9788.89355498]
