,Output
0,[11539.38632543]
1,[11505.26453531]
2,[11455.72938361]
3,[11391.41117111]
4,[11314.89894924]
5,[11229.37863771]
6,[11137.87292701]
7,[11042.90400358]
8,[10946.42766815]
9,[10849.8579184]
10,[10754.14856363]
11,[10659.90827184]
12,[10567.48021772]
13,[10477.0404135]
14,[10388.64589106]
15,[10302.28190079]
16,[10217.89731064]
17,[10135.41738915]
18,[10054.77232143]
19,[9975.87262639]
20,[9898.64848912]
21,[9823.03304465]
22,[9748.95549476]
23,[9676.35585762]
24,[9605.18693443]
25,[9535.39365991]
26,[9466.92588531]
27,[9399.743295]
28,[9333.79967346]
29,[9269.05765498]
