,Output
0,[6.21291418]
1,[6.22812668]
2,[6.22692073]
3,[6.22036403]
4,[6.21267568]
5,[6.20508941]
6,[6.19778972]
7,[6.19069638]
8,[6.18371792]
9,[6.17680096]
10,[6.16991991]
11,[6.16306788]
12,[6.15624021]
13,[6.14943938]
14,[6.14266384]
15,[6.13591296]
16,[6.12918862]
17,[6.12248769]
18,[6.11581267]
19,[6.109162]
20,[6.102536]
21,[6.09593434]
22,[6.08935766]
23,[6.08280439]
24,[6.07627547]
25,[6.06977059]
26,[6.0632885]
27,[6.05683107]
28,[6.05039737]
29,[6.04398645]
