,Output
0,[5.17744217]
1,[5.31574012]
2,[5.42012165]
3,[5.4930764]
4,[5.54007188]
5,[5.56725052]
6,[5.58024124]
7,[5.5836518]
8,[5.58097517]
9,[5.57469319]
10,[5.56646757]
11,[5.55734757]
12,[5.5479416]
13,[5.5385756]
14,[5.52939284]
15,[5.52043361]
16,[5.51168791]
17,[5.50311921]
18,[5.49468849]
19,[5.4863608]
20,[5.47810709]
21,[5.46990676]
22,[5.46174608]
23,[5.45361506]
24,[5.44550963]
25,[5.43742887]
26,[5.4293709]
27,[5.42133509]
28,[5.41332394]
29,[5.40533684]
